Date	Open	High	Low	Close 	Adj Close 	Volume
May 2, 2025	431.74	439.44	429.99	435.28	435.28	30,741,600
May 1, 2025	431.11	436.99	424.90	425.40	425.40	58,938,100
Apr 30, 2025	390.30	396.66	384.44	395.26	395.26	36,461,100
Apr 29, 2025	391.30	395.10	390.38	394.04	394.04	14,974,000
Apr 28, 2025	391.96	392.74	386.64	391.16	391.16	16,579,400
Apr 25, 2025	387.00	392.16	384.60	391.85	391.85	18,973,200
Apr 24, 2025	375.70	388.45	375.19	387.30	387.30	22,232,300
Apr 23, 2025	376.06	380.39	373.02	374.39	374.39	20,545,500
Apr 22, 2025	363.38	367.77	359.86	366.82	366.82	19,485,000
Apr 21, 2025	362.82	364.48	355.67	359.12	359.12	20,807,300
Apr 17, 2025	373.75	374.32	366.89	367.78	367.78	20,943,700
Apr 16, 2025	380.67	381.61	368.00	371.61	371.61	21,967,800
Apr 15, 2025	388.51	391.89	384.16	385.73	385.73	17,199,900
Apr 14, 2025	393.22	394.65	384.21	387.81	387.81	19,251,200
Apr 11, 2025	380.64	390.05	378.89	388.45	388.45	23,839,200
Apr 10, 2025	382.06	383.90	367.80	381.35	381.35	38,024,400
Apr 9, 2025	353.54	393.23	353.10	390.49	390.49	50,199,700
Apr 8, 2025	368.26	373.65	350.25	354.56	354.56	35,868,900
Apr 7, 2025	350.88	371.00	344.79	357.86	357.86	50,425,000
Apr 4, 2025	364.13	374.59	359.48	359.84	359.84	49,209,900
Apr 3, 2025	374.79	377.48	369.35	373.11	373.11	30,198,000
Apr 2, 2025	377.97	385.08	376.62	382.14	382.14	16,092,600
Apr 1, 2025	374.65	382.85	373.23	382.19	382.19	19,689,500
Mar 31, 2025	372.54	377.07	367.24	375.39	375.39	35,184,700
Mar 28, 2025	388.08	389.13	376.93	378.80	378.80	21,632,000
Mar 27, 2025	390.13	392.24	387.40	390.58	390.58	13,766,800
Mar 26, 2025	395.00	395.31	388.57	389.97	389.97	16,108,400
Mar 25, 2025	393.92	396.36	392.64	395.16	395.16	15,775,000
Mar 24, 2025	395.40	395.40	389.81	393.08	393.08	21,004,500
Mar 21, 2025	383.22	391.74	382.80	391.26	391.26	39,675,900
Mar 20, 2025	385.74	391.79	383.28	386.84	386.84	18,470,500
Mar 19, 2025	385.53	389.68	384.00	387.82	387.82	19,185,500
Mar 18, 2025	387.07	387.37	381.10	383.52	383.52	19,486,900
Mar 17, 2025	386.70	392.71	385.57	388.70	388.70	22,474,300
Mar 14, 2025	379.78	390.23	379.51	388.56	388.56	19,952,800
Mar 13, 2025	383.16	385.32	377.45	378.77	378.77	20,473,000
Mar 12, 2025	382.95	385.22	378.95	383.27	383.27	24,253,600
Mar 11, 2025	379.00	386.00	376.91	380.45	380.45	30,380,200
Mar 10, 2025	385.84	386.40	377.22	380.16	380.16	32,840,100
Mar 7, 2025	392.32	394.80	385.54	393.31	393.31	22,034,100
Mar 6, 2025	394.28	402.15	392.68	396.89	396.89	23,304,600
Mar 5, 2025	389.34	401.67	388.81	401.02	401.02	23,433,100
Mar 4, 2025	383.40	392.58	381.00	388.61	388.61	29,342,900
Mar 3, 2025	398.82	398.82	386.16	388.49	388.49	23,007,700
Feb 28, 2025	392.66	397.63	386.57	396.99	396.99	32,845,700
Feb 27, 2025	401.27	405.74	392.17	392.53	392.53	21,127,400
Feb 26, 2025	398.01	403.60	394.25	399.73	399.73	19,619,000
Feb 25, 2025	401.10	401.92	396.70	397.90	397.90	29,387,400
Feb 24, 2025	408.51	409.37	399.32	404.00	404.00	26,443,700
Feb 21, 2025	417.34	418.05	407.89	408.21	408.21	27,524,800
Feb 20, 2025	0.83 Dividend
Feb 20, 2025	415.29	419.31	412.54	416.13	416.13	23,508,700
Feb 19, 2025	407.88	415.49	407.65	414.77	413.94	24,114,200
Feb 18, 2025	408.00	410.60	406.50	409.64	408.82	21,423,100
Feb 14, 2025	407.79	408.91	405.88	408.43	407.61	22,758,500
Feb 13, 2025	407.00	411.00	406.36	410.54	409.72	23,891,700
Feb 12, 2025	407.21	410.75	404.37	409.04	408.22	19,121,700
Feb 11, 2025	409.64	412.49	409.30	411.44	410.62	18,140,600
Feb 10, 2025	413.71	415.46	410.92	412.22	411.40	20,817,900
Feb 7, 2025	416.48	418.65	408.10	409.75	408.93	22,886,800
Feb 6, 2025	414.00	418.20	414.00	415.82	414.99	16,309,800
Feb 5, 2025	412.35	413.83	410.40	413.29	412.46	16,316,700
Feb 4, 2025	412.69	413.92	409.74	412.37	411.54	20,532,100
Feb 3, 2025	411.60	415.41	408.66	410.92	410.10	25,679,100
Jan 31, 2025	418.98	420.69	414.91	415.06	414.23	34,223,400
Jan 30, 2025	418.77	422.86	413.16	414.99	414.16	54,586,300
Jan 29, 2025	446.69	446.88	440.40	442.33	441.44	23,581,400
Jan 28, 2025	434.60	448.38	431.38	447.20	446.31	23,491,700
Jan 27, 2025	424.01	435.20
